Country,HCI_Group,HCI_2022_Score,Adult_Literacy_Index,Adult_Literacy_Year,Adult_Literacy_Source,Gross_Enrollment_Ratio_Index,Gross_Enrollment_Ratio_Year,Gross_Enrollment_Ratio_Source,Expected_Year_of_Schooling_Index,Expected_Year_of_Schooling_Year,Expected_Year_of_Schooling_Source,Mean_Year_of_Schooling_Index,Mean_Year_of_Schooling_Year,Mean_Year_of_Schooling_Source
Afghanistan,Middle HCI,0.3493,37.27,2021,UNESCO,64.43,2018,UNESCO,10.2,2018,UNESCO,3.9,2019,UNDP
Albania,Very High HCI,0.8022,98.14,2018,UNESCO,83,2020,UNESCO,14.45,2020,UNESCO,10.1,2019,UNDP
Algeria,High HCI,0.6956,81.41,2018,UNESCO,80.87,2011,UNESCO,14.33,2011,UNESCO,8,2019,UNDP
Andorra,Very High HCI,0.7585,100,2016,UNESCO,69,2014,UNESCO,13.3,2019,UNDP*,10.5,2019,UNDP
Angola,Middle HCI,0.4648,66.03,2014,UNESCO,61.3,2011,UNESCO,9.56,2011,UNESCO,5.2,2019,UNDP
Antigua and Barbuda,Very High HCI,0.8128,98.95,2015,UNESCO,87.76,2012,UNESCO,14.86,2012,UNESCO,9.3,2019,UNDP
Argentina,Very High HCI,0.9173,99,2018,UNESCO,100,2019,UNESCO,17.87,2019,UNESCO,10.9,2019,UNDP
Armenia,Very High HCI,0.7945,99.79,2020,UNESCO,78.48,2020,UNESCO,13.12,2020,UNESCO,11.3,2019,UNDP
Australia,Very High HCI,1,99,2014,UNESCO,100,2019,UNESCO,21.58,2019,UNESCO,12.7,2019,UNDP
Austria,Very High HCI,0.907,99,2014,UNESCO,97.43,2019,UNESCO,16.01,2019,UNESCO,12.5,2019,UNDP
Azerbaijan,Very High HCI,0.7932,99.8,2019,UNESCO,79.8,2020,UNESCO,13.5,2020,UNESCO,10.6,2019,UNDP
Bahamas,Very High HCI,0.7641,95.8,2014,UNESCO,74,2014,UNESCO,12.9,2019,UNDP*,11.4,2019,UNDP
Bahrain,Very High HCI,0.8154,90.98,2010,UNESCO,91.19,2019,UNESCO,16.3,2019,UNESCO,9.5,2019,UNDP
Bangladesh,High HCI,0.59,74.91,2020,UNESCO,72.46,2020,UNESCO,12.44,2020,UNESCO,6.2,2019,UNDP
Barbados,Very High HCI,0.8645,99.6,2014,UNESCO,95.69,2011,UNESCO,15.29,2011,UNESCO,10.6,2019,UNDP
Belarus,Very High HCI,0.9011,99.87,2019,UNESCO,98.38,2018,UNESCO,15.4,2018,UNESCO,12.3,2019,UNDP
Belgium,Very High HCI,0.9614,99,2014,UNESCO,100,2019,UNESCO,19.6,2019,UNESCO,12.1,2019,UNDP
Belize,High HCI,0.6707,76.9,2000,UNESCO,75.12,2020,UNESCO,12.99,2020,UNESCO,9.9,2019,UNDP
Benin,Middle HCI,0.4391,42.36,2018,UNESCO,76.82,2016,UNESCO,12.61,2016,UNESCO,3.8,2019,UNDP
Bhutan,High HCI,0.5305,66.56,2017,UNESCO,71.11,2018,UNESCO,13.1,2018,UNESCO,4.1,2019,UNDP
Bolivia (Plurinational State of),High HCI,0.7483,92.46,2015,UNESCO,79.25,2007,UNESCO,14.2,2019,UNDP*,9,2019,UNDP
Bosnia and Herzegovina,High HCI,0.7489,96.99,2013,UNESCO,71,2014,UNESCO,13.8,2019,UNDP*,9.8,2019,UNDP
Botswana,High HCI,0.6932,86.82,2013,UNESCO,73.83,2008,UNESCO,12.42,2008,UNESCO,9.6,2019,
Brazil,Very High HCI,0.7953,93.23,2018,UNESCO,92.72,2019,UNESCO,15.6,2019,UNESCO,8.0,2019,UNDP
Brunei Darussalam,Very High HCI,0.7567,97.21,2018,UNESCO,76.39,2020,UNESCO,13.95,2020,UNESCO,9.1,2019,UNDP
Bulgaria,Very High HCI,0.8221,98.35,2011,UNESCO,85.52,2019,UNESCO,13.9,2019,UNESCO,11.4,2019,UNDP
Burkina Faso,Middle HCI,0.2768,39.35,2018,UNESCO,54.11,2020,UNESCO,9.14,2020,UNESCO,1.6,2019,UNDP
Burundi,Middle HCI,0.4837,68.38,2017,UNESCO,68.55,2018,UNESCO,10.78,2018,UNESCO,3.3,2019,UNDP
Cabo Verde,High HCI,0.6507,86.79,2015,UNESCO,75.32,2018,UNESCO,12.7,2018,UNESCO,6.3,2019,UNDP
Cambodia,High HCI,0.538,80.53,2015,UNESCO,62.75,2008,UNESCO,10.55,2008,UNESCO,5.0,2019,UNDP
Cameroon,High HCI,0.5928,77.07,2018,UNESCO,71.64,2016,UNESCO,12.1,2016,UNESCO,6.3,2019,UNDP
Canada,Very High HCI,0.926,99.0,2014,UNESCO,97.2,2019,UNESCO,16.4,2019,UNESCO,13.4,2019,UNDP
Central African Republic,Low HCI,0.2425,37.4,2018,UNESCO,42.18,2012,UNESCO,6.85,2012,UNESCO,4.3,2019,UNDP
Chad,Low HCI,0.1753,22.31,2016,UNESCO,46.66,2015,UNESCO,7.35,2015,UNESCO,2.5,2019,UNDP
Chile,Very High HCI,0.8853,96.4,2017,UNESCO,99.93,2019,UNESCO,16.73,2019,UNESCO,10.6,2019,UNDP
China,High HCI,0.7429,96.84,2018,UNESCO,85.32,2020,UNESCO,12.43,2010,UNESCO,8.1,2019,UNDP
Colombia,Very High HCI,0.7867,95.64,2020,UNESCO,89.3,2019,UNESCO,14.52,2019,UNESCO,8.5,2019,UNDP
Comoros,Middle HCI,0.471,58.82,2018,UNESCO,65.29,2014,UNESCO,11.24,2014,UNESCO,5.1,2019,UNDP
Congo,High HCI,0.5677,80.3,2018,UNESCO,64.46,2012,UNESCO,10.73,2012,UNESCO,6.5,2019,UNDP
Costa Rica,Very High HCI,0.8593,97.86,2018,UNESCO,100.0,2019,UNESCO,16.55,2019,UNESCO,8.7,2019,UNDP
Côte d’Ivoire,High HCI,0.5748,89.89,2019,UNESCO,61.42,2019,UNESCO,10.48,2019,UNESCO,5.3,2019,UNDP
Croatia,Very High HCI,0.85,99.13,2011,UNESCO,87.91,2019,UNESCO,15.11,2019,UNESCO,11.4,2019,UNDP
Cuba,Very High HCI,0.8384,99.75,2012,UNESCO,84.33,2020,UNESCO,14.44,2020,UNESCO,11.8,2019,UNDP
Cyprus,Very High HCI,0.8934,98.68,2011,UNESCO,96.59,2019,UNESCO,15.65,2019,UNESCO,12.2,2019,UNDP
Czech Republic,Very High HCI,0.9114,99.0,2014,UNESCO,93.82,2017,UNESCO,16.8,2019,UNDP*,12.7,2019,UNDP
Democratic People’s Republic of Korea,High HCI,0.649,100.0,2008,UNESCO,70.75,2015,UNESCO,10.8,2019,UNDP*,5.47,2017,estimation
Democratic Republic of the Congo,High HCI,0.5355,77.04,2016,UNESCO,61.9,2013,UNESCO,9.61,2013,UNESCO,6.8,2019,UNDP
Denmark,Very High HCI,0.9559,99.0,2014,UNESCO,100.0,2019,UNESCO,18.71,2019,UNESCO,12.6,2019,UNDP
Djibouti,Middle HCI,0.3529,70.3,2014,UNESCO,38.32,2011,UNESCO,6.46,2011,UNESCO,4.1,2019,UNDP
Dominica,High HCI,0.681,88.0,2014,UNESCO,73.0,2014,UNESCO,13.0,2019,UNDP*,8.1,2019,UNDP
Dominican Republic,Very High HCI,0.7539,93.78,2016,UNESCO,84.11,2017,UNESCO,14.22,2017,UNESCO,8.1,2019,UNDP
Country,HCI Group,HCI 2022,Adult Literacy (%),Gross Enrollment Ratio,Expected Year of Schooling,Mean Year of Schooling,,,,,,,,
,,"IndexValue",Year,Source,"IndexValue",Year,Source,"IndexValue",Year,Source,"IndexValue",Year,Source,
Egypt,High HCI,0.6375,71.17,2017,UNESCO,81.68,2018,UNESCO,13.61,2018,UNESCO,7.4,2019,UNDP
El Salvador,High HCI,0.6268,89.14,2019,UNESCO,66.25,2018,UNESCO,11.59,2018,UNESCO,6.9,2019,UNDP
Equatorial Guinea,High HCI,0.5031,94.37,2010,UNESCO,44.55,2000,UNESCO,7.08,2000,UNESCO,5.9,2019,UNDP
Eritrea,Middle HCI,0.429,76.57,2018,UNESCO,49.14,2015,UNESCO,8.03,2015,UNESCO,3.9,2019,UNDP
Estonia,Very High HCI,0.9231,99.89,2011,UNESCO,99.01,2019,UNESCO,15.93,2019,UNESCO,13.1,2019,UNDP
Eswatini,High HCI,0.6703,88.42,2018,UNESCO,76.22,2013,UNESCO,12.79,2013,UNESCO,6.9,2019,UNDP
Ethiopia,Middle HCI,0.3364,51.77,2017,UNESCO,54.53,2012,UNESCO,8.41,2012,UNESCO,2.9,2019,UNDP
Fiji,Very High HCI,0.7957,99.08,2017,UNESCO,77.9,2004,UNESCO,13.92,2004,UNESCO,10.9,2019,UNDP
Finland,Very High HCI,0.964,99,2014,UNESCO,100,2019,UNESCO,19.05,2019,UNESCO,12.8,2019,UNDP
France,Very High HCI,0.8784,99,2014,UNESCO,93.86,2019,UNESCO,15.81,2019,UNESCO,11.5,2019,UNDP
Gabon,High HCI,0.6706,84.67,2018,UNESCO,74.93,2001,UNESCO,12.19,2001,UNESCO,8.7,2019,UNDP
Gambia (Republic of The),Middle HCI,0.3301,50.78,2015,UNESCO,50.65,2010,UNESCO,7.96,2010,UNESCO,3.9,2019,UNDP
Georgia,Very High HCI,0.8984,99.56,2019,UNESCO,92.71,2020,UNESCO,15.57,2020,UNESCO,13.1,2019,UNDP
Germany,Very High HCI,0.9446,99,2014,UNESCO,96.24,2019,UNESCO,17.01,2019,UNESCO,14.2,2019,UNDP
Ghana,High HCI,0.6176,79.04,2018,UNESCO,72.47,2020,UNESCO,12.05,2020,UNESCO,7.3,2019,UNDP
Greece,Very High HCI,0.9405,97.94,2018,UNESCO,100,2019,UNESCO,20.03,2019,UNESCO,10.6,2019,UNDP
Grenada,Very High HCI,0.8977,98.6,2014,UNESCO,100,2018,UNESCO,18.63,2018,UNESCO,9,2019,UNDP
Guatemala,High HCI,0.5596,80.81,2018,UNESCO,61.26,2019,UNESCO,10.56,2019,UNESCO,6.6,2019,UNDP
