COUNTRY_NAME,DESIGNATION,OFFICIAL_NAME,OFFICIAL_NAME_URL
Afghanistan,Supreme Leader,Hibatullah Akhundzada,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Hibatullah_Akhundzada.jpg/220px-Hibatullah_Akhundzada.jpg
Afghanistan,Prime Minister,Hasan Akhund,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Hasan_Akhund.png/220px-Hasan_Akhund.png
Afghanistan,Chief Justice,Abdul Hakim Ishaqzai,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Abdul_Hakim_Ishaqzai_%28cropped%29.jpg/220px-Abdul_Hakim_Ishaqzai_%28cropped%29.jpg
Åland Islands,Premier,Veronica Thörnroos,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Veronica_Th%C3%B6rnroos_in_2022_%28cropped%29.jpg/220px-Veronica_Th%C3%B6rnroos_in_2022_%28cropped%29.jpg
Albania,President,Bajram Begaj,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Bajram_Begaj_%28para_betimit%29.jpg/220px-Bajram_Begaj_%28para_betimit%29.jpg
Albania,Prime Minister,Edi Rama,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Sre%C4%8Danje_predsednika_vlade_Roberta_Goloba_s_predsednikom_vlade_Albanije_Edijem_Ramo_%2852320651109%29_%28cropped%29.jpg/220px-Sre%C4%8Danje_predsednika_vlade_Roberta_Goloba_s_predsednikom_vlade_Albanije_Edijem_Ramo_%2852320651109%29_%28cropped%29.jpg
Albania,Parliament Speaker,Lindita Nikolla,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Lindita_Nikolla_%28portret%29.jpg/220px-Lindita_Nikolla_%28portret%29.jpg
Algeria,President,Abdelmadjid Tebboune,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Abdelmadjid_Tebboune.jpg/220px-Abdelmadjid_Tebboune.jpg
Algeria,Prime Minister,Aymen Benabderrahmane,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Aymen_Benabderrahmane%2C_Radio_Alg%C3%A9rienne_-_Mar_23%2C_2021.jpg/220px-Aymen_Benabderrahmane%2C_Radio_Alg%C3%A9rienne_-_Mar_23%2C_2021.jpg
Algeria,Council President,Salah Goudjil,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
Algeria,Assembly President,Ibrahim Boughali,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
American Samoa,President,Joe Biden,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Joe_Biden_presidential_portrait.jpg/220px-Joe_Biden_presidential_portrait.jpg
American Samoa,Governor,Lemanu Peleti Mauga,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Lemanu_Peleti_Mauga.jpg/220px-Lemanu_Peleti_Mauga.jpg
American Samoa,Lt. Governor,Salo Ale,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
Andorra,Co-Princes,Joan Enric Vives Sicília,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Mons._Vives_%2830612833490%29.jpg/200px-Mons._Vives_%2830612833490%29.jpg
Andorra,Representatives,Josep Maria Mauri,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
Andorra,Prime Minister,Xavier Espot Zamora,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Xavier_Espot_Zamora_i_Isabel_Santos_a_l%27assemblea_de_l%27OSCE_2017_%28cropped%29.jpg/220px-Xavier_Espot_Zamora_i_Isabel_Santos_a_l%27assemblea_de_l%27OSCE_2017_%28cropped%29.jpg
Andorra,General Syndic,Roser Suñé Pascuet,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Roser_Su%C3%B1%C3%A9_2011_%28cropped%29.png/220px-Roser_Su%C3%B1%C3%A9_2011_%28cropped%29.png
Angola,President,João Lourenço,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Jo%C3%A3o_Louren%C3%A7o_Speaker%27s_Balcony_2021.jpg/220px-Jo%C3%A3o_Louren%C3%A7o_Speaker%27s_Balcony_2021.jpg
Angola,Vice President,Esperança da Costa,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
Anguilla,Monarch,Charles III,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Charles_Prince_of_Wales.jpg/220px-Charles_Prince_of_Wales.jpg
